職缺名稱,公司名,薪資
軟體工程師 Programmer,神華商業系統股份有限公司,月薪35000~50000元
SSD 半導體應用工程師(新竹),日商_建興儲存科技股份有限公司,待遇面議
品保QE工程師_竹北廠,中國砂輪企業股份有限公司,月薪35000~50000元
技術服務工程師(北區),章和貿易股份有限公司,月薪35000~50000元
B.專案經理_智慧建築弱電工程專案規劃管理,中華電信股份有限公司,待遇面議
【技術部】-PHP工程師,上洛國際股份有限公司,月薪65000元以上
[板橋]AC/DC類比IC設計工程師,通嘉科技股份有限公司,待遇面議
電子維修工程師【32K~60K】,欣陽電機有限公司,月薪32000~60000元
系統軟體開發工程師,捷螺系統股份有限公司,待遇面議
RF工程師(士林),Inventec_英業達股份有限公司,待遇面議
電機工程師,制宜電測股份有限公司,月薪37900元以上
硬體工程師,山齊科技有限公司,月薪35000~50000元
工程師2,華鑑營造股份有限公司,月薪38400~42400元
硬體工程師,視達威科技股份有限公司,待遇面議
資訊工程師,才高八斗科技股份有限公司,月薪32000~35000元
110-02電器處工程師,財團法人台灣大電力研究試驗中心,月薪33424~34760元
Frontend工程師,越世實業股份有限公司,待遇面議
PCB Layout工程師,香港商愛賽克工業有限公司台灣分公司,待遇面議
硬體工程師,杏澤科技股份有限公司,待遇面議
工程師3,華鑑營造股份有限公司,月薪40000~44000元
工程師/助理工程師,Googol  Company_鴻海綜合能源股份有限公司,月薪35000~55000元
助理工程師,松橋環保科技股份有限公司,月薪28000~40000元
前端工程師,正月科技股份有限公司,月薪35000~50000元
助理工程師,大賀智聯網股份有限公司,月薪33000~38000元
軟體工程師,宜虹科技股份有限公司,年薪600000元以上
AE工程師,某科技股份有限公司台灣分公司,待遇面議
FAE工程師,元澄資訊有限公司,月薪100000~150000元
工程師/助理工程師,宜特科技股份有限公司,月薪30000元以上
網路工程師,誌廣科技股份有限公司,月薪28000元以上
軟體工程師,元赫科技股份有限公司,月薪30000~60000元
